"job_id","start_time","conclusion","dynamoKey","name","job_name"
"28783002176","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783002176","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (aot_eager_huggingface__ 1__ 1__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783001781","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783001781","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (aot_eager_torchbench__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783001604","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783001604","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamo_eager_timm__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783001403","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783001403","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamo_eager_timm__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783001173","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783001173","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamo_eager_huggingface__ 1__ 1__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783000953","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783000953","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamo_eager_torchbench__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783000690","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783000690","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamo_eager_torchbench__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28782962045","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28782962045","linux-focal-py3.12-clang10 / test (default__ 4__ 4__ amz2023.linux.2xlarge)","linux-focal-py3.12-clang10 / test "
"28783003837","2024-08-14 19:51:28.000000000","success","pytorch/pytorch/28783003837","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamic_aot_eager_timm__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28782962307","2024-08-14 19:51:27.000000000","success","pytorch/pytorch/28782962307","linux-focal-py3.12-clang10 / test (dynamo__ 1__ 3__ amz2023.linux.2xlarge)","linux-focal-py3.12-clang10 / test "
"28782387446","2024-08-14 19:51:27.000000000","success","pytorch/pytorch/28782387446","linux-jammy-cpu-py3.8-gcc11-inductor / test (dynamic_cpu_inductor_torchbench__ 2__ 2__ amz2023.linux.12xlarge)","linux-jammy-cpu-py3.8-gcc11-inductor / test "
"28782997949","2024-08-14 19:51:26.000000000","success","pytorch/pytorch/28782997949","assign","assign"
"28782997800","2024-08-14 19:51:26.000000000","success","pytorch/pytorch/28782997800","manywheel-py3_8-cuda12_4-split-test / test","manywheel-py3_8-cuda12_4-split-test / test"
"28783004939","2024-08-14 19:51:26.000000000","success","pytorch/pytorch/28783004939","linux-jammy-cpu-py3.8-gcc11-inductor / test (inductor_torchbench_cpu_smoketest_perf__ 1__ 1__ amz2023.linux.24xl.spr-metal)","linux-jammy-cpu-py3.8-gcc11-inductor / test "
